,customer_id,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation,list_price,standard_cost
0,1,Female,93,1953-10-12,69,Executive Secretary,Health,Mass Customer,N,Yes,11,2016,NSW,Australia,10,825.8590909090909,551.4872727272727
1,2,Male,81,1980-12-16,42,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,2153,NSW,Australia,10,1383.0233333333333,640.9366666666666
2,9,Female,97,1973-03-10,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,2023,NSW,Australia,12,892.9249999999998,500.74
3,12,Male,58,1994-07-21,28,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,4557,QLD,Australia,4,913.4585714285714,407.73999999999995
4,13,Male,38,1955-02-15,68,Developer I,Financial Services,High Net Worth,N,Yes,8,3799,VIC,Australia,6,1104.962857142857,485.3371428571428
5,14,Female,85,1983-03-25,40,Account Executive,Financial Services,Affluent Customer,N,No,6,2760,NSW,Australia,8,898.3925,265.16333333333336
6,15,Male,91,2000-07-13,22,Junior Executive,Manufacturing,Mass Customer,N,No,1,2428,NSW,Australia,9,820.5566666666667,532.4916666666667
7,19,Female,76,2001-04-15,22,Geological Engineer,Manufacturing,High Net Worth,N,No,1,2233,NSW,Australia,9,1412.7300000000002,428.8
8,20,Male,72,1980-08-13,42,Project Manager,Manufacturing,Mass Customer,N,No,11,2444,NSW,Australia,8,1654.715,752.645
9,21,Male,74,1980-09-20,42,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,2650,NSW,Australia,7,1489.242,643.36
10,24,Female,55,1977-12-03,45,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,2153,NSW,Australia,10,1009.8687500000001,456.5942857142857
11,25,Male,72,1976-12-02,46,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,4413,QLD,Australia,3,833.0275,388.55583333333334
